sno,latitude,longitude,day_of_year,seconds_of_day
500104029,25.10208,121.51979,130,12782
500104030,25.08388,121.52535,130,19442
500104031,25.08403,121.5249,130,19742
500104032,25.09667,121.53206,104,19455
500104033,25.09896,121.53025,130,18302
500104034,25.09651,121.52753,130,13382
500104035,25.08911,121.52154,130,18781
500104036,25.09164,121.51706,130,19442
500104037,25.09631,121.51449,129,84495
500104038,25.09598,121.51776,129,60316
500104039,25.09619,121.5223,130,18902
500104040,25.09419,121.52833,130,17463
500104041,25.09343,121.52642,130,17402
500104042,25.08771,121.52677,130,18902
500104043,25.09435,121.51702,129,82454
500104044,25.10991,121.53039,129,83403
500104045,25.10455,121.53195,129,65235
500104046,25.10225,121.52286,130,3854
500104047,25.10143,121.53585,130,13622
500104048,25.10113,121.55159,130,19083
500104049,25.09106,121.51502,130,17222
500104050,25.09755,121.54036,129,68715
500104051,25.08678,121.50948,130,19083
500104052,25.08505,121.51166,128,79622
500104053,25.08393,121.51169,130,1805
500104054,25.08254,121.5075,130,15915
500104055,25.10459,121.52417,130,9363
500104056,25.08824,121.51054,130,19561
500104057,25.09058,121.50142,306,13755
500104058,25.09346,121.50376,129,81004
500104059,25.10641,121.52944,130,3782
500104060,25.0902,121.50622,130,15841
500104061,25.09833,121.54788,130,1204
500104062,25.09763,121.53402,130,5222
500104063,25.09312,121.51419,128,85082
500104064,25.08279,121.51219,130,19203
500104065,25.10893,121.46639,130,10622
500104066,25.10304,121.48297,129,81004
500104067,25.1064,121.4836,129,72197
500104068,25.11314,121.48974,129,70637
500104069,25.10261,121.48819,129,40203
500104070,25.09669,121.49706,129,85203
500104071,25.10696,121.53234,130,6556
500104072,25.11044,121.53595,130,18496
500104073,25.08899,121.51751,130,18123
500104074,25.10775,121.52312,130,16923
500104075,25.0933,121.51962,130,19322
500104076,25.09609,121.53006,130,7204
500104077,25.09709,121.54229,129,84004
500104078,25.08217,121.51074,130,7804
500104079,25.11306,121.53945,130,18601
500104080,25.08887,121.50314,129,69075
500104081,25.10012,121.53253,130,17222
500104082,25.08019,121.5202,130,19083
500104083,25.10455,121.53025,130,9063
500104084,25.10199,121.52927,130,5894
500104085,25.09812,121.52449,130,19561
500104086,25.12408,121.53003,130,12482
500104087,25.08637,121.5247,130,18421
