sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos,total_0_30,total_30_60,total_60_plus,rent_0_30,rent_30_60,rent_60_plus,return_0_30,return_30_60,return_60_plus,total_bikes,rent_bikes,return_bikes,is_high_error,relative_error
500111013,25.05469,121.61669,130,9363,2,5,0.273972602739726,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500111013,25.05469,121.61669,130,9363,2,5,0.273972602739726,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500111019,25.05933,121.61677,130,662,0,5,0.1285714285714285,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500111019,25.05933,121.61677,130,662,0,5,0.1285714285714285,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500112049,25.0489,121.57841,130,19203,5,5,0.1428571428571428,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500112082,25.03404,121.56598,130,22335,6,5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500112085,25.04084,121.56789,130,18004,5,5,0.217391304347826,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500112085,25.04084,121.56789,130,18004,5,5,0.217391304347826,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500112085,25.04084,121.56789,130,18004,5,5,0.217391304347826,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
500113034,25.04662,121.50717,130,18601,5,5,0.4264705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,1,372.1164613661814
