sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos,total_0_30,total_30_60,total_60_plus,rent_0_30,rent_30_60,rent_60_plus,return_0_30,return_30_60,return_60_plus,total_bikes,rent_bikes,return_bikes,is_high_error,relative_error
500103009,25.07133,121.52024,130,18601,5,5,0.3950617283950617,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
500103010,25.0722,121.51057,130,15002,4,5,0.7560975609756098,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103010,25.0722,121.51057,130,15002,4,5,0.7560975609756098,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103010,25.0722,121.51057,130,15002,4,5,0.7560975609756098,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103011,25.07567,121.51862,129,65775,18,4,0.046875,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,0,0,1,0,0,1,1,0,0,90,90,15,1,451.9127272727272
500103011,25.07567,121.51862,129,65775,18,4,0.046875,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
500103020,25.06327,121.50943,130,16203,4,5,0.7659574468085106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103024,25.06314,121.51308,130,12482,3,5,0.5789473684210527,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103027,25.05826,121.52063,130,15604,4,5,0.048780487804878,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103027,25.05826,121.52063,130,15604,4,5,0.048780487804878,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,1,0,0,45,45,15,1,175.9563636363636
500103028,25.04991,121.5104,130,18362,5,5,0.4838709677419355,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,0,1,0,90,45,45,1,175.9563636363636
500103028,25.04991,121.5104,130,18362,5,5,0.4838709677419355,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,1,175.9563636363636
