sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos
500101145,25.03318,121.55725,130,15002,4,5,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101146,25.03513,121.5561,130,15542,4,5,0.16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101147,25.0391,121.5569,130,14536,4,5,0.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101148,25.03635,121.53833,130,19083,5,5,0.4375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101149,25.04091,121.53295,130,19561,5,5,0.4666666666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101150,25.04239,121.53324,130,17942,4,5,0.4130434782608695,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101151,25.03126,121.54339,130,17402,4,5,0.391304347826087,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101152,25.04189,121.53376,130,15002,4,5,0.3953488372093023,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101153,25.04201,121.54612,130,19742,5,5,0.7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101154,25.04405,121.5486,130,19442,5,5,0.5652173913043478,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101155,25.03336,121.5364,130,19322,5,5,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101156,25.0328,121.53746,130,8883,2,5,0.3653846153846153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
500101157,25.03569,121.5451,130,15903,4,5,0.5263157894736842,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101158,25.03473,121.54767,130,10682,2,5,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
500101159,25.04253,121.54407,130,13982,3,5,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476
500101160,25.04153,121.5524,130,19454,5,5,0.2941176470588235,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101161,25.04159,121.54937,130,19561,5,5,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101162,25.04427,121.55291,130,18242,5,5,0.68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101163,25.02979,121.54053,130,16682,4,5,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
